,,,,,,,,,,,,,,,,,,,,
,登録番号,氏名,コース,進入率(%),3連対率(%),1着率(%),2着率(%),3着率(%),平均ST,平均スタート順,,,,,,,,,,
,4500, 山田康二 ,1,23.9%,96.9%,75.0%,15.6%,6.2%,0.12,2.70,,,,,,,,,,
,4500, 山田康二 ,2,17.2%,87.0%,21.7%,43.5%,21.7%,0.10,2.50,,,,,,,,,,
,4500, 山田康二 ,3,20.9%,82.1%,46.4%,21.4%,14.3%,0.13,2.70,,,,,,,,,,
,4500, 山田康二 ,4,12.7%,70.6%,29.4%,5.9%,35.3%,0.13,3.00,,,,,,,,,,
,4500, 山田康二 ,5,17.2%,56.5%,26.1%,4.3%,26.1%,0.13,2.70,,,,,,,,,,
,4500, 山田康二 ,6,8.2%,27.3%,0.0%,18.2%,9.1%,0.12,3.30,,,,,,,,,,
,4544,松田大志郎 ,1,30.2%,95.6%,80.0%,11.1%,4.4%,0.15,3.10,,,,,,,,,,
,4544,松田大志郎 ,2,14.8%,86.4%,36.4%,31.8%,18.2%,0.16,3.50,,,,,,,,,,
,4544,松田大志郎 ,3,14.8%,77.3%,31.8%,31.8%,13.6%,0.18,4.00,,,,,,,,,,
,4544,松田大志郎 ,4,15.4%,82.6%,39.1%,30.4%,13.0%,0.14,2.90,,,,,,,,,,
,4544,松田大志郎 ,5,13.4%,80.0%,40.0%,30.0%,10.0%,0.18,3.60,,,,,,,,,,
,4544,松田大志郎 ,6,11.4%,47.1%,5.9%,29.4%,11.8%,0.18,3.90,,,,,,,,,,
,4320,  峰竜太 ,1,21.2%,81.0%,71.4%,4.8%,4.8%,0.14,3.80,,,,,,,,,,
,4320,  峰竜太 ,2,17.2%,82.4%,29.4%,35.3%,17.6%,0.15,4.00,,,,,,,,,,
,4320,  峰竜太 ,3,18.2%,66.7%,22.2%,27.8%,16.7%,0.13,3.30,,,,,,,,,,
,4320,  峰竜太 ,4,13.1%,69.2%,23.1%,30.8%,15.4%,0.15,3.50,,,,,,,,,,
,4320,  峰竜太 ,5,22.2%,72.7%,13.6%,36.4%,22.7%,0.15,3.30,,,,,,,,,,
,4320,  峰竜太 ,6,8.1%,62.5%,0.0%,25.0%,37.5%,0.13,3.50,,,,,,,,,,
,3941, 池田浩二 ,1,25.4%,94.4%,88.9%,2.8%,2.8%,0.13,2.50,,,,,,,,,,
,3941, 池田浩二 ,2,16.2%,82.6%,17.4%,43.5%,21.7%,0.14,3.30,,,,,,,,,,
,3941, 池田浩二 ,3,13.4%,84.2%,10.5%,47.4%,26.3%,0.12,2.40,,,,,,,,,,
,3941, 池田浩二 ,4,16.9%,70.8%,29.2%,12.5%,29.2%,0.13,2.50,,,,,,,,,,
,3941, 池田浩二 ,5,15.5%,68.2%,9.1%,22.7%,36.4%,0.13,3.30,,,,,,,,,,
,3941, 池田浩二 ,6,12.7%,38.9%,0.0%,11.1%,27.8%,0.14,3.80,,,,,,,,,,
,4418, 茅原悠紀 ,1,25.4%,88.6%,77.1%,5.7%,5.7%,0.12,2.20,,,,,,,,,,
,4418, 茅原悠紀 ,2,13.8%,84.2%,31.6%,21.1%,31.6%,0.15,3.00,,,,,,,,,,
,4418, 茅原悠紀 ,3,15.9%,77.3%,36.4%,27.3%,13.6%,0.14,2.70,,,,,,,,,,
,4418, 茅原悠紀 ,4,13.8%,78.9%,21.1%,36.8%,21.1%,0.12,2.60,,,,,,,,,,
,4418, 茅原悠紀 ,5,14.5%,65.0%,15.0%,30.0%,20.0%,0.10,2.30,,,,,,,,,,
,4418, 茅原悠紀 ,6,16.7%,56.5%,8.7%,13.0%,34.8%,0.12,3.50,,,,,,,,,,
,5084, 末永和也 ,1,24.8%,100%,85.7%,7.1%,7.1%,0.12,2.60,,,,,,,,,,
,5084, 末永和也 ,2,13.3%,60.0%,26.7%,20.0%,13.3%,0.12,3.10,,,,,,,,,,
,5084, 末永和也 ,3,15.9%,88.9%,38.9%,22.2%,27.8%,0.13,2.50,,,,,,,,,,
,5084, 末永和也 ,4,18.6%,61.9%,9.5%,38.1%,14.3%,0.14,3.40,,,,,,,,,,
,5084, 末永和也 ,5,13.3%,46.7%,13.3%,6.7%,26.7%,0.14,3.60,,,,,,,,,,
,5084, 末永和也 ,6,14.2%,68.8%,6.2%,18.8%,43.8%,0.14,3.00,,,,,,,,,,
,4886, 入海馨 ,1,26.1%,96.8%,87.1%,9.7%,0.0%,0.14,2.50,,,,,,,,,,
,4886, 入海馨 ,2,16.8%,75.0%,15.0%,30.0%,30.0%,0.15,2.70,,,,,,,,,,
,4886, 入海馨 ,3,12.6%,86.7%,26.7%,33.3%,26.7%,0.14,3.00,,,,,,,,,,
,4886, 入海馨 ,4,14.3%,82.4%,29.4%,29.4%,23.5%,0.12,2.20,,,,,,,,,,
,4886, 入海馨 ,5,14.3%,76.5%,29.4%,35.3%,11.8%,0.17,3.20,,,,,,,,,,
,4886, 入海馨 ,6,16.0%,63.2%,0.0%,31.6%,31.6%,0.15,3.30,,,,,,,,,,
,4344,新田雄史 ,1,24.0%,93.1%,79.3%,13.8%,0.0%,0.10,2.00,,,,,,,,,,
,4344,新田雄史 ,2,16.5%,90.0%,35.0%,25.0%,30.0%,0.14,2.80,,,,,,,,,,
,4344,新田雄史 ,3,20.7%,68.0%,20.0%,28.0%,20.0%,0.12,2.60,,,,,,,,,,
,4344,新田雄史 ,4,12.4%,53.3%,33.3%,13.3%,6.7%,0.12,2.70,,,,,,,,,,
,4344,新田雄史 ,5,16.5%,70.0%,15.0%,25.0%,30.0%,0.14,2.80,,,,,,,,,,
,4344,新田雄史 ,6,9.9%,41.7%,16.7%,0.0%,25.0%,0.15,3.30,,,,,,,,,,
,4914,吉田裕平 ,1,20.2%,100.0%,87.0%,13.0%,0.0%,0.11,2.00,,,,,,,,,,
,4914,吉田裕平 ,2,13.2%,86.7%,26.7%,46.7%,13.3%,0.11,2.50,,,,,,,,,,
,4914,吉田裕平 ,3,16.7%,73.7%,21.1%,31.6%,21.1%,0.12,2.70,,,,,,,,,,
,4914,吉田裕平 ,4,21.1%,75.0%,16.7%,37.5%,20.8%,0.11,2.70,,,,,,,,,,
,4914,吉田裕平 ,5,15.8%,33.3%,16.7%,11.1%,5.6%,0.13,3.10,,,,,,,,,,
,4914,吉田裕平 ,6,13.2%,46.7%,13.3%,13.3%,20.0%,0.10,2.90,,,,,,,,,,
,4188,久田敏之 ,1,26.6%,97.1%,85.3%,5.9%,5.9%,0.12,2.00,,,,,,,,,,
,4188,久田敏之 ,2,17.2%,63.6%,13.6%,40.9%,9.1%,0.15,3.30,,,,,,,,,,
,4188,久田敏之 ,3,18.0%,82.6%,34.8%,26.1%,21.7%,0.11,2.60,,,,,,,,,,
,4188,久田敏之 ,4,14.8%,68.4%,26.3%,26.3%,15.8%,0.13,2.60,,,,,,,,,,
,4188,久田敏之 ,5,17.2%,72.7%,27.3%,27.3%,18.2%,0.13,1.90,,,,,,,,,,
,4188,久田敏之 ,6,6.2%,62.5%,25.0%,12.5%,25.0%,0.15,3.10,,,,,,,,,,
,3876,中辻崇人 ,1,24.3%,92.9%,85.7%,7.1%,0.0%,0.13,2.20,,,,,,,,,,
,3876,中辻崇人 ,2,14.8%,88.2%,35.3%,41.2%,11.8%,0.16,3.40,,,,,,,,,,
,3876,中辻崇人 ,3,17.4%,85.0%,55.0%,20.0%,10.0%,0.13,2.60,,,,,,,,,,
,3876,中辻崇人 ,4,15.7%,61.1%,27.8%,22.2%,11.1%,0.14,2.50,,,,,,,,,,
,3876,中辻崇人 ,5,15.7%,77.8%,38.9%,22.2%,16.7%,0.10,1.90,,,,,,,,,,
,3876,中辻崇人 ,6,12.2%,35.7%,14.3%,14.3%,7.1%,0.11,2.00,,,,,,,,,,
,4468,大池佑来 ,1,24.6%,96.6%,82.8%,10.3%,3.4%,0.12,2.20,,,,,,,,,,
,4468,大池佑来 ,2,17.8%,81.0%,38.1%,23.8%,19.0%,0.13,3.00,,,,,,,,,,
,4468,大池佑来 ,3,17.8%,81.0%,19.0%,52.4%,9.5%,0.14,2.80,,,,,,,,,,
,4468,大池佑来 ,4,14.4%,76.5%,29.4%,35.3%,11.8%,0.15,2.20,,,,,,,,,,
,4468,大池佑来 ,5,14.4%,58.8%,23.5%,17.6%,17.6%,0.11,2.40,,,,,,,,,,
,4468,大池佑来 ,6,11.0%,30.8%,0.0%,15.4%,15.4%,0.14,3.40,,,,,,,,,,
,4013,中島孝平 ,1,22.7%,93.8%,78.1%,12.5%,3.1%,0.14,3.10,,,,,,,,,,
,4013,中島孝平 ,2,15.6%,77.3%,22.7%,50.0%,4.5%,0.13,3.20,,,,,,,,,,
,4013,中島孝平 ,3,10.6%,80.0%,6.7%,46.7%,26.7%,0.14,3.10,,,,,,,,,,
,4013,中島孝平 ,4,19.9%,53.6%,17.9%,14.3%,21.4%,0.13,2.90,,,,,,,,,,
,4013,中島孝平 ,5,11.3%,81.2%,37.5%,12.5%,31.2%,0.12,2.30,,,,,,,,,,
,4013,中島孝平 ,6,19.9%,60.7%,3.6%,39.3%,17.9%,0.13,2.90,,,,,,,,,,
,3721,守田俊介 ,1,21.7%,92.9%,85.7%,7.1%,0.0%,0.11,2.10,,,,,,,,,,
,3721,守田俊介 ,2,16.3%,81.0%,23.8%,52.4%,4.8%,0.11,2.80,,,,,,,,,,
,3721,守田俊介 ,3,20.2%,76.9%,23.1%,38.5%,15.4%,0.15,3.00,,,,,,,,,,
,3721,守田俊介 ,4,22.5%,69.0%,24.1%,24.1%,20.7%,0.10,2.00,,,,,,,,,,
,3721,守田俊介 ,5,15.5%,60.0%,10.0%,15.0%,35.0%,0.12,2.70,,,,,,,,,,
,3721,守田俊介 ,6,3.9%,40.0%,0.0%,0.0%,40.0%,0.19,5.40,,,,,,,,,,
,4502,遠藤エミ ,1,26.0%,87.5%,78.1%,6.2%,3.1%,0.14,2.20,,,,,,,,,,
,4502,遠藤エミ ,2,14.6%,66.7%,22.2%,27.8%,16.7%,0.13,2.90,,,,,,,,,,
,4502,遠藤エミ ,3,14.6%,72.2%,22.2%,33.3%,16.7%,0.13,2.20,,,,,,,,,,
,4502,遠藤エミ ,4,15.4%,73.7%,10.5%,31.6%,31.6%,0.13,2.50,,,,,,,,,,
,4502,遠藤エミ ,5,14.6%,66.7%,11.1%,22.2%,33.3%,0.13,2.60,,,,,,,,,,
,4502,遠藤エミ ,6,14.6%,44.4%,11.1%,11.1%,22.2%,0.15,3.90,,,,,,,,,,
,4050,田口節子 ,1,28.9%,93.9%,87.9%,6.1%,0.0%,0.13,2.50,,,,,,,,,,
,4050,田口節子 ,2,14.9%,88.2%,52.9%,17.6%,17.6%,0.13,3.10,,,,,,,,,,
,4050,田口節子 ,3,14.9%,70.6%,35.3%,23.5%,11.8%,0.16,2.60,,,,,,,,,,
,4050,田口節子 ,4,13.2%,66.7%,33.3%,26.7%,6.7%,0.12,2.50,,,,,,,,,,
,4050,田口節子 ,5,14.0%,75.0%,6.2%,43.8%,25.0%,0.15,3.20,,,,,,,,,,
,4050,田口節子 ,6,14.0%,50.0%,12.5%,25.0%,12.5%,0.20,4.10,,,,,,,,,,
,5068, 前田滉 ,1,21.1%,96.7%,80.0%,10.0%,6.7%,0.14,3.10,,,,,,,,,,
,5068, 前田滉 ,2,18.3%,80.8%,26.9%,26.9%,26.9%,0.15,3.20,,,,,,,,,,
,5068, 前田滉 ,3,17.6%,88.0%,40.0%,28.0%,20.0%,0.13,2.50,,,,,,,,,,
,5068, 前田滉 ,4,19.0%,88.9%,25.9%,40.7%,22.2%,0.16,3.10,,,,,,,,,,
,5068, 前田滉 ,5,11.3%,75.0%,31.2%,31.2%,12.5%,0.14,2.70,,,,,,,,,,
,5068, 前田滉 ,6,12.7%,44.4%,0.0%,22.2%,22.2%,0.16,3.30,,,,,,,,,,
,4166,吉田拡郎 ,1,26.2%,91.9%,78.4%,10.8%,2.7%,0.11,2.30,,,,,,,,,,
,4166,吉田拡郎 ,2,12.8%,83.3%,33.3%,22.2%,27.8%,0.14,3.60,,,,,,,,,,
,4166,吉田拡郎 ,3,14.9%,66.7%,9.5%,42.9%,14.3%,0.13,3.40,,,,,,,,,,
,4166,吉田拡郎 ,4,14.2%,80.0%,10.0%,40.0%,30.0%,0.10,2.70,,,,,,,,,,
,4166,吉田拡郎 ,5,16.3%,47.8%,21.7%,13.0%,13.0%,0.12,2.60,,,,,,,,,,
,4166,吉田拡郎 ,6,15.6%,50.0%,4.5%,0.0%,45.5%,0.14,3.00,,,,,,,,,,
,4236, 松村敏 ,1,25.7%,94.6%,86.5%,8.1%,0.0%,0.11,2.20,,,,,,,,,,
,4236, 松村敏 ,2,16.0%,78.3%,21.7%,34.8%,21.7%,0.11,1.80,,,,,,,,,,
,4236, 松村敏 ,3,12.5%,83.3%,22.2%,27.8%,33.3%,0.12,2.20,,,,,,,,,,
,4236, 松村敏 ,4,20.1%,72.4%,37.9%,31.0%,3.4%,0.11,1.70,,,,,,,,,,
,4236, 松村敏 ,5,18.1%,76.9%,23.1%,15.4%,38.5%,0.10,1.60,,,,,,,,,,
,4236, 松村敏 ,6,7.6%,54.5%,9.1%,18.2%,27.3%,0.09,1.90,,,,,,,,,,
,3783,瓜生正義 ,1,22.7%,88.9%,55.6%,25.9%,7.4%,0.16,3.90,,,,,,,,,,
,3783,瓜生正義 ,2,19.3%,82.6%,43.5%,26.1%,13.0%,0.12,3.50,,,,,,,,,,
,3783,瓜生正義 ,3,12.6%,60.0%,13.3%,40.0%,6.7%,0.18,4.60,,,,,,,,,,
,3783,瓜生正義 ,4,17.6%,57.1%,14.3%,33.3%,9.5%,0.15,3.20,,,,,,,,,,
,3783,瓜生正義 ,5,16.8%,65.0%,25.0%,20.0%,20.0%,0.14,3.10,,,,,,,,,,
,3783,瓜生正義 ,6,10.9%,23.1%,0.0%,7.7%,15.4%,0.17,4.00,,,,,,,,,,
,4444,桐生順平 ,1,19.5%,95.7%,73.9%,17.4%,4.3%,0.13,2.80,,,,,,,,,,
,4444,桐生順平 ,2,16.9%,60.0%,5.0%,35.0%,20.0%,0.13,3.00,,,,,,,,,,
,4444,桐生順平 ,3,17.8%,52.4%,9.5%,23.8%,19.0%,0.14,3.40,,,,,,,,,,
,4444,桐生順平 ,4,15.3%,77.8%,22.2%,16.7%,38.9%,0.13,3.20,,,,,,,,,,
,4444,桐生順平 ,5,19.5%,60.9%,21.7%,26.1%,13.0%,0.16,3.70,,,,,,,,,,
,4444,桐生順平 ,6,11.0%,53.8%,7.7%,7.7%,38.5%,0.15,3.70,,,,,,,,,,
,4305,金子拓矢 ,1,25.2%,100.0%,93.1%,6.9%,0.0%,0.13,2.50,,,,,,,,,,
,4305,金子拓矢 ,2,11.3%,84.6%,38.5%,38.5%,7.7%,0.15,2.50,,,,,,,,,,
,4305,金子拓矢 ,3,17.4%,70.0%,30.0%,5.0%,35.0%,0.14,2.90,,,,,,,,,,
,4305,金子拓矢 ,4,13.9%,62.5%,18.8%,12.5%,31.2%,0.15,3.30,,,,,,,,,,
,4305,金子拓矢 ,5,15.7%,72.2%,27.8%,33.3%,11.1%,0.14,2.10,,,,,,,,,,
,4305,金子拓矢 ,6,16.5%,68.4%,10.5%,26.3%,31.6%,0.18,4.20,,,,,,,,,,
,3849,中岡正彦 ,1,26.9%,97.1%,77.1%,17.1%,2.9%,0.11,2.10,,,,,,,,,,
,3849,中岡正彦 ,2,20.8%,59.3%,25.9%,18.5%,14.8%,0.15,2.10,,,,,,,,,,
,3849,中岡正彦 ,3,17.7%,82.6%,39.1%,17.4%,26.1%,0.14,2.60,,,,,,,,,,
,3849,中岡正彦 ,4,23.1%,83.3%,43.3%,16.7%,23.3%,0.09,1.80,,,,,,,,,,
,3849,中岡正彦 ,5,10.0%,53.8%,7.7%,38.5%,7.7%,0.12,2.60,,,,,,,,,,
,3849,中岡正彦 ,6,1.5%,50.0%,0.0%,0.0%,50.0%,0.24,5.50,,,,,,,,,,
,4686,丸野一樹 ,1,23.6%,96.6%,79.3%,10.3%,6.9%,0.14,3.80,,,,,,,,,,
,4686,丸野一樹 ,2,15.4%,63.2%,15.8%,31.6%,15.8%,0.14,4.00,,,,,,,,,,
,4686,丸野一樹 ,3,16.3%,70.0%,30.0%,25.0%,15.0%,0.15,3.40,,,,,,,,,,
,4686,丸野一樹 ,4,15.4%,52.6%,15.8%,26.3%,10.5%,0.13,3.30,,,,,,,,,,
,4686,丸野一樹 ,5,12.2%,66.7%,13.3%,13.3%,40.0%,0.17,3.60,,,,,,,,,,
,4686,丸野一樹 ,6,17.1%,42.9%,4.8%,4.8%,33.3%,0.14,3.20,,,,,,,,,,
