,,,,,,,,,,,,,,,,,,,,,
,日付,レース,枠番,登録番号,全国勝率,全国2連,全国3連,当地勝率,当地2連,当地3連,モーター2連,モーター3連,コース1_平均着順,コース2_平均着順,コース3_平均着順,コース4_平均着順,コース5_平均着順,コース6_平均着順,展示タイム,着順,3連単払戻金
,20260214,1,1,4917,4.56,21.52,36.71,4.81,26.47,45.59,33.14,50.58,5.0,1.0,6.0,3.0,2.0,5.0,6.75,4,"¥32,720"
,20260214,1,2,3838,4.98,33.33,48.48,6.27,36.36,63.64,34.46,46.89,2.0,5.0,5.0,3.0,6.0,5.0,6.86,1,"¥32,720"
,20260214,1,3,5095,5.78,33.77,61.04,5.1,25.0,55.0,38.98,58.76,1.0,2.0,3.0,3.0,,3.0,6.77,3,"¥32,720"
,20260214,1,4,5204,4.57,14.29,42.86,3.05,9.09,22.73,38.64,57.95,4.0,4.0,4.0,,6.0,5.5,6.80,5,"¥32,720"
,20260214,1,5,4992,4.07,25.88,31.76,3.83,16.67,33.33,33.33,47.95,1.0,3.0,6.0,,4.0,6.0,6.82,6,"¥32,720"
,20260214,1,6,5036,5.02,37.76,44.9,3.93,21.43,28.57,46.15,63.91,4.0,2.0,4.0,6.0,3.0,1.0,6.77,2,"¥32,720"
,20260214,2,1,5004,4.94,25.97,46.75,6.0,0.0,100.0,31.98,47.67,1.0,2.0,5.0,4.0,3.0,4.0,6.75,1,"¥1,310"
,20260214,2,2,5263,4.37,21.65,40.21,0.0,0.0,0.0,27.43,48.57,6.0,5.0,3.0,4.0,3.0,5.0,6.78,5,"¥1,310"
,20260214,2,3,4895,5.55,36.47,54.12,4.11,11.11,22.22,44.25,62.64,1.0,4.0,1.0,,3.0,,6.81,4,"¥1,310"
,20260214,2,4,4556,6.81,52.17,71.01,8.3,80.0,100.0,31.07,51.41,1.0,3.0,3.5,2.0,3.0,2.0,6.83,2,"¥1,310"
,20260214,2,5,4852,7.16,54.31,77.59,4.82,11.76,47.06,36.99,52.02,1.0,1.0,2.5,1.0,1.0,5.0,6.76,3,"¥1,310"
,20260214,2,6,5296,3.79,19.18,31.51,3.75,14.29,28.57,26.9,42.11,4.0,1.0,5.0,5.0,,5.0,6.82,6,"¥1,310"
,20260214,3,1,4772,6.54,48.48,68.69,6.28,44.44,66.67,38.76,52.25,1.0,2.0,4.0,1.0,3.0,5.0,6.75,1,"¥1,270"
,20260214,3,2,5264,4.84,24.1,49.4,4.12,20.77,32.31,28.9,42.77,4.0,3.0,5.0,3.0,1.0,5.0,6.73,3,"¥1,270"
,20260214,3,3,3769,5.17,25.0,54.55,0.0,0.0,0.0,33.14,53.49,4.0,3.0,6.0,2.0,3.0,4.0,6.87,2,"¥1,270"
